,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,target
0,39.0,7,77516.0,9,13.0,4,1,1,4,1,2174.0,0.0,40.0,39,1
1,50.0,6,83311.0,9,13.0,2,4,0,4,1,0.0,0.0,13.0,39,1
2,38.0,4,215646.0,11,9.0,0,6,1,4,1,0.0,0.0,40.0,39,1
3,53.0,4,234721.0,1,7.0,2,6,0,2,1,0.0,0.0,40.0,39,1
4,28.0,4,338409.0,9,13.0,2,10,5,2,0,0.0,0.0,40.0,5,1
5,37.0,4,284582.0,12,14.0,2,4,5,4,0,0.0,0.0,40.0,39,1
6,49.0,4,160187.0,6,5.0,3,8,1,2,0,0.0,0.0,16.0,23,1
7,52.0,6,209642.0,11,9.0,2,4,0,4,1,0.0,0.0,45.0,39,0
8,31.0,4,45781.0,12,14.0,4,10,1,4,0,14084.0,0.0,50.0,39,0
9,42.0,4,159449.0,9,13.0,2,4,0,4,1,5178.0,0.0,40.0,39,0
10,37.0,4,280464.0,15,10.0,2,4,0,2,1,0.0,0.0,80.0,39,0
11,30.0,7,141297.0,9,13.0,2,10,0,1,1,0.0,0.0,40.0,19,0
12,23.0,4,122272.0,9,13.0,4,1,3,4,0,0.0,0.0,30.0,39,1
13,32.0,4,205019.0,7,12.0,4,12,1,2,1,0.0,0.0,50.0,39,1
14,40.0,4,121772.0,8,11.0,2,3,0,1,1,0.0,0.0,40.0,0,0
15,34.0,4,245487.0,5,4.0,2,14,0,0,1,0.0,0.0,45.0,26,1
16,25.0,6,176756.0,11,9.0,4,5,3,4,1,0.0,0.0,35.0,39,1
17,32.0,4,186824.0,11,9.0,4,7,4,4,1,0.0,0.0,40.0,39,1
18,38.0,4,28887.0,1,7.0,2,12,0,4,1,0.0,0.0,50.0,39,1
19,43.0,6,292175.0,12,14.0,0,4,4,4,0,0.0,0.0,45.0,39,0
20,40.0,4,193524.0,10,16.0,2,10,0,4,1,0.0,0.0,60.0,39,0
21,54.0,4,302146.0,11,9.0,5,8,4,2,0,0.0,0.0,20.0,39,1
22,35.0,1,76845.0,6,5.0,2,5,0,2,1,0.0,0.0,40.0,39,1
23,43.0,4,117037.0,1,7.0,2,14,0,4,1,0.0,2042.0,40.0,39,1
24,59.0,4,109015.0,11,9.0,0,13,4,4,0,0.0,0.0,40.0,39,1
25,56.0,2,216851.0,9,13.0,2,13,0,4,1,0.0,0.0,40.0,39,0
26,19.0,4,168294.0,11,9.0,4,3,3,4,1,0.0,0.0,40.0,39,1
27,54.0,0,180211.0,15,10.0,2,0,0,1,1,0.0,0.0,60.0,35,0
28,39.0,4,367260.0,11,9.0,0,4,1,4,1,0.0,0.0,80.0,39,1
29,49.0,4,193366.0,11,9.0,2,3,0,4,1,0.0,0.0,40.0,39,1
30,23.0,2,190709.0,7,12.0,4,11,1,4,1,0.0,0.0,52.0,39,1
31,20.0,4,266015.0,15,10.0,4,12,3,2,1,0.0,0.0,44.0,39,1
32,45.0,4,386940.0,9,13.0,0,4,3,4,1,0.0,1408.0,40.0,39,1
33,30.0,1,59951.0,15,10.0,2,1,3,4,1,0.0,0.0,40.0,39,1
34,22.0,7,311512.0,15,10.0,2,8,0,2,1,0.0,0.0,15.0,39,1
35,48.0,4,242406.0,1,7.0,4,7,4,4,1,0.0,0.0,40.0,33,1
36,21.0,4,197200.0,15,10.0,4,7,3,4,1,0.0,0.0,40.0,39,1
37,19.0,4,544091.0,11,9.0,1,1,5,4,0,0.0,0.0,25.0,39,1
38,31.0,4,84154.0,15,10.0,2,12,0,4,1,0.0,0.0,38.0,0,0
39,48.0,6,265477.0,7,12.0,2,10,0,4,1,0.0,0.0,40.0,39,1
40,31.0,4,507875.0,6,5.0,2,7,0,4,1,0.0,0.0,43.0,39,1
41,53.0,6,88506.0,9,13.0,2,10,0,4,1,0.0,0.0,40.0,39,1
42,24.0,4,172987.0,9,13.0,2,13,0,4,1,0.0,0.0,50.0,39,1
43,49.0,4,94638.0,11,9.0,5,1,4,4,0,0.0,0.0,40.0,39,1
44,25.0,4,289980.0,11,9.0,4,6,1,4,1,0.0,0.0,35.0,39,1
45,57.0,1,337895.0,9,13.0,2,10,0,2,1,0.0,0.0,40.0,39,0
46,53.0,4,144361.0,11,9.0,2,7,0,4,1,0.0,0.0,38.0,39,1
47,44.0,4,128354.0,12,14.0,0,4,4,4,0,0.0,0.0,40.0,39,1
48,41.0,7,101603.0,8,11.0,2,3,0,4,1,0.0,0.0,40.0,39,1
49,29.0,4,271466.0,8,11.0,4,10,1,4,1,0.0,0.0,43.0,39,1
50,25.0,4,32275.0,15,10.0,2,4,5,3,0,0.0,0.0,40.0,39,1
51,18.0,4,226956.0,11,9.0,4,8,3,4,0,0.0,0.0,30.0,0,1
52,47.0,4,51835.0,14,15.0,2,10,5,4,0,0.0,1902.0,60.0,16,0
53,50.0,1,251585.0,9,13.0,0,4,1,4,1,0.0,0.0,55.0,39,0
54,47.0,5,109832.0,11,9.0,0,4,1,4,1,0.0,0.0,60.0,39,1
55,43.0,4,237993.0,15,10.0,2,13,0,4,1,0.0,0.0,40.0,39,0
56,46.0,4,216666.0,4,3.0,2,7,0,4,1,0.0,0.0,40.0,26,1
57,35.0,4,56352.0,8,11.0,2,8,0,4,1,0.0,0.0,40.0,33,1
58,41.0,4,147372.0,11,9.0,2,1,0,4,1,0.0,0.0,48.0,39,1
59,30.0,4,188146.0,11,9.0,2,7,0,4,1,5013.0,0.0,40.0,39,1
60,30.0,4,59496.0,9,13.0,2,12,0,4,1,2407.0,0.0,40.0,39,1
61,32.0,0,293936.0,5,4.0,3,0,1,4,1,0.0,0.0,40.0,0,1
62,48.0,4,149640.0,11,9.0,2,14,0,4,1,0.0,0.0,40.0,39,1
63,42.0,4,116632.0,10,16.0,2,10,0,4,1,0.0,0.0,45.0,39,0
64,29.0,4,105598.0,15,10.0,0,13,1,4,1,0.0,0.0,58.0,39,1
65,36.0,4,155537.0,11,9.0,2,3,0,4,1,0.0,0.0,40.0,39,1
66,28.0,4,183175.0,15,10.0,0,1,1,4,0,0.0,0.0,40.0,39,1
67,53.0,4,169846.0,11,9.0,2,1,5,4,0,0.0,0.0,40.0,39,0
68,49.0,5,191681.0,15,10.0,2,4,0,4,1,0.0,0.0,50.0,39,0
69,25.0,0,200681.0,15,10.0,4,0,3,4,1,0.0,0.0,40.0,39,1
70,19.0,4,101509.0,15,10.0,4,10,3,4,1,0.0,0.0,32.0,39,1
71,31.0,4,309974.0,9,13.0,5,12,3,2,0,0.0,0.0,40.0,39,1
72,29.0,6,162298.0,9,13.0,2,12,0,4,1,0.0,0.0,70.0,39,0
73,23.0,4,211678.0,15,10.0,4,7,1,4,1,0.0,0.0,40.0,39,1
74,79.0,4,124744.0,15,10.0,2,10,2,4,1,0.0,0.0,20.0,39,1
75,27.0,4,213921.0,11,9.0,4,8,3,4,1,0.0,0.0,40.0,26,1
76,40.0,4,32214.0,7,12.0,2,1,0,4,1,0.0,0.0,40.0,39,1
77,67.0,0,212759.0,0,6.0,2,0,0,4,1,0.0,0.0,2.0,39,1
78,18.0,4,309634.0,1,7.0,4,8,3,4,0,0.0,0.0,22.0,39,1
79,31.0,2,125927.0,5,4.0,2,5,0,4,1,0.0,0.0,40.0,39,1
80,18.0,4,446839.0,11,9.0,4,12,1,4,1,0.0,0.0,30.0,39,1
81,52.0,4,276515.0,9,13.0,2,8,0,4,1,0.0,0.0,40.0,5,1
82,46.0,4,51618.0,11,9.0,2,8,5,4,0,0.0,0.0,40.0,39,1
83,59.0,4,159937.0,11,9.0,2,12,0,4,1,0.0,0.0,48.0,39,1
84,44.0,4,343591.0,11,9.0,0,3,1,4,0,14344.0,0.0,40.0,39,0
85,53.0,4,346253.0,11,9.0,0,12,3,4,0,0.0,0.0,35.0,39,1
86,49.0,2,268234.0,11,9.0,2,11,0,4,1,0.0,0.0,40.0,39,0
87,33.0,4,202051.0,12,14.0,2,10,0,4,1,0.0,0.0,50.0,39,1
88,30.0,4,54334.0,6,5.0,4,12,1,4,1,0.0,0.0,40.0,39,1
89,43.0,1,410867.0,10,16.0,4,10,1,4,0,0.0,0.0,50.0,39,0
90,57.0,4,249977.0,8,11.0,2,10,0,4,1,0.0,0.0,40.0,39,1
91,37.0,4,286730.0,15,10.0,0,3,4,4,0,0.0,0.0,40.0,39,1
92,28.0,4,212563.0,15,10.0,0,7,4,2,0,0.0,0.0,25.0,39,1
93,30.0,4,117747.0,11,9.0,2,12,5,1,0,0.0,1573.0,35.0,0,1
94,34.0,2,226296.0,9,13.0,2,11,0,4,1,0.0,0.0,40.0,39,0
95,29.0,2,115585.0,15,10.0,4,6,1,4,1,0.0,0.0,50.0,39,1
96,48.0,6,191277.0,10,16.0,2,10,0,4,1,0.0,1902.0,60.0,39,0
97,37.0,4,202683.0,15,10.0,2,12,0,4,1,0.0,0.0,48.0,39,0
98,48.0,4,171095.0,7,12.0,0,4,4,4,0,0.0,0.0,40.0,9,1
99,32.0,1,249409.0,11,9.0,4,8,3,2,1,0.0,0.0,40.0,39,1
100,76.0,4,124191.0,12,14.0,2,4,0,4,1,0.0,0.0,40.0,39,0
101,44.0,4,198282.0,9,13.0,2,4,0,4,1,15024.0,0.0,60.0,39,0
102,47.0,6,149116.0,12,14.0,4,10,1,4,0,0.0,0.0,50.0,39,1
103,20.0,4,188300.0,15,10.0,4,13,3,4,0,0.0,0.0,40.0,39,1
104,29.0,4,103432.0,11,9.0,4,3,1,4,1,0.0,0.0,40.0,39,1
105,32.0,5,317660.0,11,9.0,2,3,0,4,1,7688.0,0.0,40.0,39,0
106,17.0,0,304873.0,0,6.0,4,0,3,4,0,34095.0,0.0,32.0,39,1
107,30.0,4,194901.0,1,7.0,4,6,3,4,1,0.0,0.0,40.0,39,1
108,31.0,2,189265.0,11,9.0,4,1,1,4,0,0.0,0.0,40.0,39,1
109,42.0,4,124692.0,11,9.0,2,6,0,4,1,0.0,0.0,40.0,39,1
110,24.0,4,432376.0,9,13.0,4,12,2,4,1,0.0,0.0,40.0,39,1
111,38.0,4,65324.0,14,15.0,2,10,0,4,1,0.0,0.0,40.0,39,0
112,56.0,6,335605.0,11,9.0,2,8,0,4,1,0.0,1887.0,50.0,2,0
113,28.0,4,377869.0,15,10.0,2,12,5,4,0,4064.0,0.0,25.0,39,1
114,36.0,4,102864.0,11,9.0,4,7,3,4,0,0.0,0.0,40.0,39,1
115,53.0,4,95647.0,6,5.0,2,6,0,4,1,0.0,0.0,50.0,39,1
116,56.0,5,303090.0,15,10.0,2,12,0,4,1,0.0,0.0,50.0,39,1
117,49.0,2,197371.0,8,11.0,2,3,0,2,1,0.0,0.0,40.0,39,0
118,55.0,4,247552.0,15,10.0,2,12,0,4,1,0.0,0.0,56.0,39,1
119,22.0,4,102632.0,11,9.0,4,3,1,4,1,0.0,0.0,41.0,39,1
120,21.0,4,199915.0,15,10.0,4,8,3,4,0,0.0,0.0,40.0,39,1
121,40.0,4,118853.0,9,13.0,2,4,0,4,1,0.0,0.0,60.0,39,1
122,30.0,4,77143.0,9,13.0,4,4,3,2,1,0.0,0.0,40.0,11,1
123,29.0,7,267989.0,9,13.0,2,10,0,4,1,0.0,0.0,50.0,39,0
124,19.0,4,301606.0,15,10.0,4,8,3,2,1,0.0,0.0,35.0,39,1
125,47.0,4,287828.0,9,13.0,2,4,5,4,0,0.0,0.0,40.0,39,0
126,20.0,4,111697.0,15,10.0,4,1,3,4,0,0.0,1719.0,28.0,39,1
127,31.0,4,114937.0,7,12.0,2,1,0,4,1,0.0,0.0,40.0,39,0
128,35.0,0,129305.0,11,9.0,2,0,0,4,1,0.0,0.0,40.0,39,1
129,39.0,4,365739.0,15,10.0,0,3,1,4,1,0.0,0.0,40.0,39,1
130,28.0,4,69621.0,7,12.0,4,12,1,4,0,0.0,0.0,60.0,39,1
131,24.0,4,43323.0,11,9.0,4,8,1,4,0,0.0,1762.0,40.0,39,1
132,38.0,6,120985.0,11,9.0,2,3,0,4,1,4386.0,0.0,35.0,39,1
133,37.0,4,254202.0,9,13.0,2,12,0,4,1,0.0,0.0,50.0,39,1
134,46.0,4,146195.0,7,12.0,0,13,1,2,0,0.0,0.0,36.0,39,1
135,38.0,1,125933.0,12,14.0,2,10,0,4,1,0.0,0.0,40.0,20,0
136,43.0,6,56920.0,11,9.0,2,3,0,4,1,0.0,0.0,60.0,39,1
137,27.0,4,163127.0,8,11.0,2,1,5,4,0,0.0,0.0,35.0,39,1
138,20.0,4,34310.0,15,10.0,4,12,3,4,1,0.0,0.0,20.0,39,1
139,49.0,4,81973.0,15,10.0,2,3,0,1,1,0.0,0.0,40.0,39,0
140,61.0,5,66614.0,11,9.0,2,3,0,4,1,0.0,0.0,40.0,39,1
141,27.0,4,232782.0,15,10.0,4,12,3,4,0,0.0,0.0,40.0,39,1
142,19.0,4,316868.0,15,10.0,4,8,3,4,1,0.0,0.0,30.0,26,1
143,45.0,4,196584.0,8,11.0,4,10,1,4,0,0.0,1564.0,40.0,39,0
144,70.0,4,105376.0,15,10.0,4,13,2,4,1,0.0,0.0,40.0,39,1
145,31.0,4,185814.0,11,9.0,4,14,4,2,0,0.0,0.0,30.0,39,1
146,22.0,4,175374.0,15,10.0,2,8,0,4,1,0.0,0.0,24.0,39,1
147,36.0,4,108293.0,11,9.0,6,8,4,4,0,0.0,0.0,24.0,39,1
148,64.0,4,181232.0,1,7.0,2,3,0,4,1,0.0,2179.0,40.0,39,1
149,43.0,0,174662.0,15,10.0,0,0,1,4,0,0.0,0.0,40.0,39,1
150,47.0,2,186009.0,15,10.0,0,1,4,4,0,0.0,0.0,38.0,26,1
151,34.0,4,198183.0,11,9.0,4,1,1,4,0,0.0,0.0,40.0,39,1
152,33.0,4,163003.0,9,13.0,4,4,2,1,0,0.0,0.0,40.0,30,1
153,21.0,4,296158.0,11,9.0,4,3,3,4,1,0.0,0.0,35.0,39,1
154,52.0,0,252903.0,11,9.0,0,0,1,4,1,0.0,0.0,45.0,39,0
155,48.0,4,187715.0,11,9.0,2,3,0,4,1,0.0,0.0,46.0,39,1
156,23.0,4,214542.0,9,13.0,4,6,1,4,1,0.0,0.0,40.0,39,1
157,71.0,6,494223.0,15,10.0,5,12,4,2,1,0.0,1816.0,2.0,39,1
158,29.0,4,191535.0,11,9.0,0,3,1,4,1,0.0,0.0,60.0,39,1
